AIANNHCE,AIANNHNAME
2300,Mississippi Choctaw Reservation
2315,Moapa River Indian Reservation
2320,Mohegan Reservation and Off-Reservation Trust Land
2330,Montgomery Creek Rancheria
2340,Mooretown Rancheria and Off-Reservation Trust Land
2360,Morongo Reservation and Off-Reservation Trust Land
2375,Muckleshoot Reservation and Off-Reservation Trust Land
2400,Nambe Pueblo and Off-Reservation Trust Land
2415,Narragansett Reservation
2430,Navajo Nation Reservation and Off-Reservation Trust Land
2445,Nez Perce Reservation
2460,Nisqually Reservation
2475,Nooksack Reservation and Off-Reservation Trust Land
2490,Northern Cheyenne Indian Reservation and Off-Reservation Trust Land
2495,North Fork Rancheria and Off-Reservation Trust Land
2505,Northwestern Shoshone Reservation
2510,Ohkay Owingeh
2535,Oil Springs Reservation
2550,Omaha Reservation
2555,Oneida Nation Reservation
2560,Oneida (WI) Reservation and Off-Reservation Trust Land
2570,Onondaga Nation Reservation
2580,Ontonagon Reservation
2595,Osage Reservation
2625,Paiute (UT) Reservation
2635,Pala Reservation
2680,Pascua Pueblo Yaqui Reservation
2685,Paskenta Rancheria
2695,Passamaquoddy Trust Land
2715,Pauma and Yuima Reservation
2745,Pechanga Reservation
2760,Penobscot Reservation and Off-Reservation Trust Land
2775,Picayune Rancheria and Off-Reservation Trust Land
2785,Picuris Pueblo
2810,Pine Ridge Reservation
2820,Pinoleville Rancheria
2835,Pit River Trust Land
2850,Pleasant Point Reservation
2865,Poarch Creek Reservation and Off-Reservation Trust Land
2890,Pokagon Reservation and Off-Reservation Trust Land
2900,Ponca (NE) Trust Land
2910,Port Gamble Reservation
2925,Port Madison Reservation
2980,Prairie Band of Potawatomi Nation Reservation
2985,Prairie Island Indian Community and Off-Reservation Trust Land
2990,Pueblo of Pojoaque and Off-Reservation Trust Land
3000,Puyallup Reservation and Off-Reservation Trust Land
3010,Pyramid Lake Paiute Reservation
3020,Quartz Valley Reservation and Off-Reservation Trust Land
3030,Quileute Reservation
3040,Quinault Reservation
3070,Ramona Village
3085,Red Cliff Reservation and Off-Reservation Trust Land
3095,Redding Rancheria
3100,Red Lake Reservation
3115,Redwood Valley Rancheria
3130,Reno-Sparks Indian Colony
3145,Resighini Rancheria
3165,Rincon Reservation
3185,Roaring Creek Rancheria
3195,Robinson Rancheria and Off-Reservation Trust Land
3205,Rocky Boy's Reservation and Off-Reservation Trust Land
3220,Rohnerville Rancheria
3235,Rosebud Indian Reservation and Off-Reservation Trust Land
3250,Round Valley Reservation and Off-Reservation Trust Land
3265,Rumsey Indian Rancheria
3280,Sac and Fox/Meskwaki Settlement
3285,Sac and Fox Nation Reservation and Off-Reservation Trust Land
3305,St. Croix Reservation and Off-Reservation Trust Land
3320,St. Regis Mohawk Reservation
3340,Salt River Reservation
3355,San Carlos Reservation
3370,Sandia Pueblo
3400,San Felipe Pueblo
3415,San Ildefonso Pueblo and Off-Reservation Trust Land
3445,San Manuel Reservation
3460,San Pasqual Reservation
3480,Santa Ana Pueblo
3495,Santa Clara Pueblo
3520,Santa Rosa Rancheria
3525,Santa Rosa Reservation
3540,Santa Ynez Reservation
3550,Santa Ysabel Reservation
3565,Santee Reservation
3585,Santo Domingo Pueblo
3625,Sauk-Suiattle Reservation
3635,Sault Sainte Marie Reservation and Off-Reservation Trust Land
3665,Seminole (FL) Trust Land
3680,Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land
3735,Sherwood Valley Rancheria and Off-Reservation Trust Land
3750,Shingle Springs Rancheria
3780,Shoalwater Bay Indian Reservation and Off-Reservation Trust Land
3795,Siletz Reservation and Off-Reservation Trust Land
3825,Skokomish Reservation
3840,Skull Valley Reservation
3855,Smith River Rancheria and Off-Reservation Trust Land
3860,Snoqualmie Reservation
3870,Soboba Reservation and Off-Reservation Trust Land
3885,Sokaogon Chippewa Community and Off-Reservation Trust Land
3925,Southern Ute Reservation
3930,South Fork Reservation and Off-Reservation Trust Land
3935,Spirit Lake Reservation
3940,Spokane Reservation and Off-Reservation Trust Land
3955,Squaxin Island Reservation and Off-Reservation Trust Land
3970,Standing Rock Reservation
3980,Stewart Community
3985,Stewarts Point Rancheria
4000,Stillaguamish Reservation and Off-Reservation Trust Land
4015,Stockbridge Munsee Community
4030,Sulphur Bank Rancheria
4045,Summit Lake Reservation and Off-Reservation Trust Land
4060,Susanville Indian Rancheria and Off-Reservation Trust Land
4075,Swinomish Reservation and Off-Reservation Trust Land
4090,Sycuan Reservation
4095,Table Bluff Reservation
4110,Table Mountain Rancheria
4130,Tampa Reservation
4140,Taos Pueblo and Off-Reservation Trust Land
4170,Tesuque Pueblo and Off-Reservation Trust Land
4180,Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land
4200,Tohono O'odham Nation Reservation and Off-Reservation Trust Land
4225,Tonawanda Reservation
4235,Tonto Apache Reservation
4255,Torres-Martinez Reservation
4275,Trinidad Rancheria and Off-Reservation Trust Land
4290,Tulalip Reservation and Off-Reservation Trust Land
4300,Tule River Reservation and Off-Reservation Trust Land
4315,Tunica-Biloxi Reservation and Off-Reservation Trust Land
4330,Tuolumne Rancheria
4345,Turtle Mountain Reservation and Off-Reservation Trust Land
4360,Tuscarora Nation Reservation
4375,Twenty-Nine Palms Reservation
4390,Uintah and Ouray Reservation and Off-Reservation Trust Land
4405,Umatilla Reservation
4430,Upper Lake Rancheria
4445,Upper Sioux Community and Off-Reservation Trust Land
4455,Upper Skagit Reservation
4470,Ute Mountain Reservation and Off-Reservation Trust Land
4500,Viejas Reservation
4515,Walker River Reservation
4530,Wampanoag-Aquinnah Trust Land
4545,Warm Springs Reservation and Off-Reservation Trust Land
4560,Washoe Ranches Trust Land
4580,Wells Colony
4595,White Earth Reservation and Off-Reservation Trust Land
4610,Wind River Reservation and Off-Reservation Trust Land
4625,Winnebago Reservation and Off-Reservation Trust Land
4635,Winnemucca Indian Colony
4665,Woodfords Community
4680,XL Ranch Rancheria
4690,Yakama Nation Reservation and Off-Reservation Trust Land
4700,Yankton Reservation
4708,Yavapai-Apache Nation Reservation
4710,Yavapai-Prescott Reservation
4725,Yerington Colony
4740,Yomba Reservation
4755,Ysleta del Sur Pueblo and Off-Reservation Trust Land
4760,Yurok Reservation
4770,Zia Pueblo and Off-Reservation Trust Land
4785,Zuni Reservation and Off-Reservation Trust Land
4910,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area
4930,San Felipe Pueblo/Santa Ana Pueblo joint-use area
4940,San Felipe Pueblo/Santo Domingo Pueblo joint-use area
5003,Anahola (Agricultural) Hawaiian Home Land
5004,Anahola (Residential) Hawaiian Home Land
5008,East Kapolei Hawaiian Home Land
5009,Haiku Hawaiian Home Land
